Date,Open,High,Low,Close      Close price adjusted for splits.,Adj Close      Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Dec 1, 2022","2,047.00","2,176.95","1,896.05","1,972.80","1,880.67","12,024,885"
"Nov 1, 2022","1,988.40","2,063.00","1,898.00","2,017.25","1,923.04","10,937,388"
"Oct 1, 2022","2,088.05","2,153.60","1,928.50","1,978.50","1,886.10","9,895,063"
"Sep 1, 2022","2,118.00","2,182.00","1,981.55","2,087.65","1,990.16","11,973,928"
"Aug 1, 2022","2,330.00","2,444.90","2,062.05","2,130.95","2,031.43","10,735,110"
"Jul 5, 2022",46.00 Dividend
"Jul 1, 2022","2,279.20","2,342.00","2,070.50","2,299.80","2,147.15","13,279,303"
"Jun 1, 2022","2,599.00","2,700.00","2,112.05","2,294.05","2,141.78","11,760,727"
"May 1, 2022","2,799.00","2,823.00","2,262.05","2,593.55","2,421.40","9,777,885"
"Apr 1, 2022","3,375.00","3,389.60","2,698.05","2,843.20","2,654.48","9,441,653"
"Mar 1, 2022","3,108.70","3,465.80","3,023.10","3,376.85","3,152.71","12,375,153"
"Feb 1, 2022","3,140.00","3,194.95","2,863.45","3,108.70","2,902.36","8,403,895"
"Jan 1, 2022","3,392.00","3,479.00","2,845.25","3,106.50","2,900.30","13,295,911"
"Dec 1, 2021","2,867.80","3,419.20","2,851.00","3,396.70","3,171.24","13,246,328"
"Nov 1, 2021","3,268.00","3,494.80","2,825.00","2,895.15","2,702.98","22,954,785"
"Oct 1, 2021","3,109.00","3,659.75","2,945.55","3,235.80","3,021.02","20,409,797"
"Sep 13, 2021",38.00 Dividend
"Sep 1, 2021","2,920.20","3,534.60","2,811.40","3,104.40","2,861.55","18,940,169"
"Aug 1, 2021","2,619.50","3,001.00","2,602.00","2,898.10","2,671.39","16,287,650"
"Jul 1, 2021","2,136.95","2,677.50","2,104.00","2,599.75","2,396.38","21,418,268"
"Jun 1, 2021","1,950.00","2,144.30","1,875.00","2,134.20","1,967.25","13,626,272"
"May 1, 2021","1,764.00","2,009.95","1,728.00","1,944.35","1,792.25","12,339,777"
"Apr 1, 2021","1,785.00","1,837.45","1,603.00","1,764.80","1,626.75","11,384,451"
"Mar 1, 2021","1,659.90","1,811.25","1,575.25","1,776.50","1,637.53","10,113,365"
"Feb 1, 2021","1,535.00","1,787.80","1,511.00","1,646.90","1,518.07","7,086,672"
