Date,Open,High,Low,Close      Close price adjusted for splits.,Adj Close      Adjusted close price adjusted for splits and dividend and/or capital gain distributions.,Volume
"Aug 1, 2021","1,587.43","1,679.43","1,490.95","1,661.03","1,619.19","10,101,204"
"Jul 13, 2021",3.00 Dividend
"Jul 1, 2021","1,485.30","1,649.00","1,362.53","1,571.60","1,528.70","12,850,072"
"Jun 1, 2021","1,271.50","1,494.00","1,197.50","1,469.43","1,429.31","7,115,144"
"May 1, 2021","1,000.00","1,284.00",993.22,"1,271.47","1,236.77","8,927,132"
"Apr 1, 2021",964.50,"1,092.45",928.80,"1,019.15",991.33,"7,718,966"
"Mar 1, 2021",840.00,998.50,820.53,961.03,934.79,"7,009,760"
"Feb 9, 2021",7.00 Dividend
"Feb 1, 2021",766.03,925.00,752.97,828.28,799.31,"5,930,144"
"Jan 1, 2021",755.00,850.00,738.90,762.13,735.47,"7,660,488"
"Dec 1, 2020",599.00,774.50,582.38,758.58,732.05,"7,910,646"
"Nov 1, 2020",562.00,624.10,551.58,596.67,575.81,"4,879,730"
"Oct 1, 2020",671.03,695.30,531.70,579.33,559.07,"9,484,942"
"Sep 1, 2020",478.25,692.92,478.25,670.63,647.17,"10,801,622"
"Aug 1, 2020",458.00,564.00,454.00,479.13,462.37,"7,854,498"
"Jul 1, 2020",319.00,465.00,314.00,459.05,443.00,"13,034,908"
"Jun 1, 2020",265.00,320.58,264.27,317.55,306.45,"3,675,490"
"May 1, 2020",237.25,275.50,230.00,262.77,253.59,"7,715,338"
"Apr 1, 2020",275.48,279.38,232.10,237.25,228.95,"3,592,592"
"Mar 18, 2020",1.50 Dividend
"Mar 1, 2020",350.00,360.00,210.02,275.48,264.50,"3,539,980"
"Feb 6, 2020",4.50 Dividend
"Feb 1, 2020",350.50,367.00,335.50,348.20,330.12,"3,229,530"
"Jan 1, 2020",338.92,370.00,334.67,350.48,332.27,"4,583,714"
"Dec 1, 2019",342.48,349.35,331.55,337.08,319.57,"3,319,450"
"Nov 1, 2019",312.00,350.00,291.35,342.17,324.40,"7,035,962"
"Oct 1, 2019",287.98,317.50,273.33,309.80,293.71,"2,886,100"
"Sep 1, 2019",271.02,312.50,265.50,284.98,270.17,"3,941,280"
"Aug 1, 2019",262.50,292.50,251.50,271.02,256.95,"2,612,734"
"Jul 11, 2019",1.50 Dividend
"Jul 1, 2019",310.00,317.38,234.38,260.27,245.56,"5,949,558"
"Jun 1, 2019",290.25,323.08,289.00,308.70,291.24,"4,208,264"
"May 1, 2019",318.13,318.13,286.50,290.98,274.52,"4,472,000"
"Apr 1, 2019",318.50,324.50,302.00,318.13,300.13,"7,054,492"
"Mar 1, 2019",329.40,347.92,310.00,314.77,296.97,"6,205,294"
"Feb 4, 2019",4.00 Dividend
"Feb 1, 2019",301.50,337.55,295.55,327.60,305.08,"8,155,172"
"Jan 1, 2019",314.00,322.17,269.27,301.05,280.35,"17,776,776"
"Dec 1, 2018",304.05,321.00,295.00,311.33,289.92,"6,751,620"
"Nov 1, 2018",284.50,305.00,266.15,302.77,281.96,"8,334,654"
"Oct 1, 2018",391.75,393.98,268.00,283.20,263.73,"15,729,576"
"Sep 1, 2018",417.00,457.50,385.63,394.20,367.10,"8,320,766"
"Aug 1, 2018",417.75,444.95,405.35,413.80,385.35,"8,267,784"
"Jul 19, 2018",1.50 Dividend
"Jul 1, 2018",408.95,437.00,395.00,417.73,387.61,"9,281,458"
"Jun 1, 2018",402.38,422.48,366.63,405.73,376.47,"5,033,942"
"May 1, 2018",403.83,434.00,378.05,394.02,365.62,"8,506,944"
"Apr 1, 2018",352.50,412.50,328.25,403.83,374.71,"13,878,208"
"Mar 1, 2018",427.45,433.50,344.00,347.02,322.01,"8,033,286"
"Feb 2, 2018",3.50 Dividend
"Feb 1, 2018",393.92,439.00,325.00,427.63,393.25,"9,606,576"
"Jan 1, 2018",360.00,409.00,346.83,393.92,362.26,"14,237,504"
"Dec 1, 2017",326.00,361.52,319.00,359.00,330.14,"4,434,962"
"Nov 1, 2017",329.48,332.50,319.27,327.13,300.83,"2,769,962"
"Oct 1, 2017",334.90,342.50,314.50,325.90,299.70,"3,587,826"
"Sep 1, 2017",311.20,335.77,299.00,334.90,307.98,"2,237,884"
"Aug 1, 2017",325.45,325.88,299.90,311.20,286.19,"4,061,568"
"Jul 12, 2017",1.50 Dividend
"Jul 1, 2017",344.00,347.50,316.00,323.30,295.97,"4,520,020"
"Jun 1, 2017",303.50,346.00,292.15,341.08,312.24,"9,873,594"
"May 1, 2017",292.85,313.50,282.58,303.23,277.59,"9,662,228"
"Apr 1, 2017",301.05,301.05,279.50,292.85,268.09,"7,131,396"
"Mar 1, 2017",322.35,322.50,295.08,297.85,272.67,"6,183,120"
"Feb 1, 2017",299.90,324.50,290.00,318.17,291.28,"2,464,794"
"Jan 31, 2017",3.00 Dividend
"Jan 1, 2017",308.55,330.75,295.00,297.27,269.43,"3,442,130"
"Dec 1, 2016",303.67,317.45,292.02,308.25,279.37,"2,429,354"
"Nov 1, 2016",325.17,333.50,291.58,304.67,276.13,"6,196,704"
